arm,seed,case_id,K,alpha,regime,complete,failure_time,mass_drift,momentum_drift,energy_drift,late_field_log10_rmse,late_electric_mode1_phase_mae,late_perturbation_relative_l2
A,1,K0p295_a0p178,0.295,0.178,strong_nonlinear,True,,1.0132789611816406e-06,3.3318065106868744e-07,0.0005849328557591884,0.5909622754891904,0.2643150132873776,0.7725081703146697
A,1,K0p299_a0p105,0.299,0.105,strong_nonlinear,True,,1.430511474609375e-06,1.3177050277590752e-06,0.0002113217241876465,0.6604382720143137,0.29874150145659994,0.7825790154432468
A,1,K0p321_a0p185,0.321,0.185,transition,False,71.37,2.384185791015625e-07,2.0703300833702087e-06,0.000889923105736564,,,
A,1,K0p412_a0p043,0.412,0.043,transition,True,,1.3113021850585938e-06,6.094924174249172e-07,1.304198951518894e-06,1.1655386832612846,1.2561805883547483,4.497261975048807
A,1,K0p409_a0p182,0.409,0.182,strong_nonlinear,False,79.8,7.152557373046875e-07,9.66014340519905e-07,0.002230034471762008,,,
A,2,K0p280_a0p085,0.28,0.085,strong_nonlinear,False,67.27000000000001,5.960464477539062e-07,1.3066455721855164e-06,0.0015815139503251004,,,
A,2,K0p303_a0p035,0.303,0.035,transition,True,,1.0132789611816406e-06,4.80329617857933e-07,0.0007775408866192389,0.6066549799279461,0.2596181792217021,2.351897316074757
A,2,K0p361_a0p035,0.361,0.035,transition,True,,1.0728836059570312e-06,1.314765540882945e-07,9.492130667721558e-06,0.7056348727338644,0.17349459705304893,3.136601312497107
A,2,K0p407_a0p105,0.407,0.105,strong_nonlinear,True,,7.748603820800781e-07,8.265778888016939e-07,5.076279170434458e-06,1.0597167859676353,0.6164912992169989,0.9314376569612074
A,2,K0p454_a0p125,0.454,0.125,strong_nonlinear,False,70.1,1.0728836059570312e-06,7.287599146366119e-07,0.0016950429583932306,,,
A,2,K0p500_a0p165,0.5,0.165,strong_nonlinear,False,75.8,4.172325134277344e-07,1.473352313041687e-06,0.001055241568242271,,,
A,2,K0p445_a0p030,0.445,0.03,weak,True,,5.364418029785156e-07,1.221269485540688e-07,2.6166583607586883e-06,3.058977047360989,1.715077435042972,13.303468015164675
A,2,K0p420_a0p122,0.42,0.122,strong_nonlinear,True,,7.152557373046875e-07,1.028529368340969e-06,6.313977636623266e-05,1.2492638642928988,1.1938318516878719,1.5347979728893308
A,2,K0p372_a0p085,0.372,0.085,strong_nonlinear,True,,8.344650268554688e-07,5.243928171694279e-07,4.159119066052387e-05,0.9653796340963543,0.6276834721686894,1.254814408540398
A,2,K0p368_a0p186,0.368,0.186,transition,False,68.85000000000001,4.172325134277344e-07,1.0905787348747253e-06,0.0017954349968494,,,
A,2,K0p472_a0p032,0.472,0.032,weak,True,,1.5497207641601562e-06,2.2741733118891716e-07,2.7355270992018683e-06,4.121773074685328,2.081386569380773,19.316140009742245
A,2,K0p460_a0p177,0.46,0.177,strong_nonlinear,False,77.49000000000001,1.0728836059570312e-06,1.6186386346817017e-06,0.003606261627171973,,,
A,2,K0p280_a0p137,0.28,0.137,strong_nonlinear,False,66.74,9.5367431640625e-07,1.3364478945732117e-06,0.0014848724427817866,,,
A,2,K0p342_a0p167,0.342,0.167,transition,False,70.91000000000001,9.5367431640625e-07,7.897615432739258e-07,0.0033677711785931644,,,
A,2,K0p474_a0p051,0.474,0.051,weak,True,,1.3709068298339844e-06,1.3564713299274445e-06,0.0014516726236446275,3.675233424603456,1.3015208143920853,21.923398338653918
A,2,K0p295_a0p178,0.295,0.178,strong_nonlinear,True,,8.344650268554688e-07,7.372291292995214e-07,0.0018783404204336007,0.7336634377105622,0.5277660579178935,0.9228756864707516
A,2,K0p299_a0p105,0.299,0.105,strong_nonlinear,False,68.25,8.344650268554688e-07,2.1229498088359833e-06,0.002282207249794854,,,
A,2,K0p321_a0p185,0.321,0.185,transition,False,64.39999999999999,7.748603820800781e-07,5.675305146723986e-06,0.0007195035977224511,,,
A,2,K0p412_a0p043,0.412,0.043,transition,True,,4.76837158203125e-07,2.4714051960472716e-07,5.809613511311436e-06,0.8213610460539028,0.4759145997225058,1.8963666556636303
A,2,K0p409_a0p182,0.409,0.182,strong_nonlinear,False,73.34,4.172325134277344e-07,2.002227120101452e-06,0.001775436754404424,,,
B,0,K0p280_a0p085,0.28,0.085,strong_nonlinear,True,,7.152557373046875e-07,2.1303385437931865e-06,2.3361461292451762e-05,0.12345380473888937,0.0017802353697608645,0.10297385472877396
B,0,K0p303_a0p035,0.303,0.035,transition,True,,5.960464477539062e-07,5.954789230599999e-07,3.9078357079553584e-06,0.4714951551182268,0.11979603789558374,0.36927376201488055
B,0,K0p361_a0p035,0.361,0.035,transition,True,,5.960464477539062e-07,3.065247256017756e-08,7.000446367444649e-06,0.85730976690187,0.4579713879310467,0.6435243987822457
B,0,K0p407_a0p105,0.407,0.105,strong_nonlinear,True,,1.0132789611816406e-06,3.5220364225097e-07,8.306638642529112e-06,1.0336878350978844,0.5688265841734906,0.706208446136371
B,0,K0p454_a0p125,0.454,0.125,strong_nonlinear,True,,1.0728836059570312e-06,9.16188582777977e-08,4.709090750380977e-06,0.9801538326007726,2.0242918012986957,1.1811087743853517
