arm,seed,case_id,K,alpha,regime,complete,failure_time,mass_drift,momentum_drift,energy_drift,late_field_log10_rmse,late_electric_mode1_phase_mae,late_perturbation_relative_l2
C,1,K0p460_a0p177,0.46,0.177,strong_nonlinear,True,,7.748603820800781e-07,1.0489020496606827e-07,6.326580060595318e-06,0.8402902540560939,0.6541170568056902,0.8928985766497541
C,1,K0p280_a0p137,0.28,0.137,strong_nonlinear,True,,1.7881393432617188e-06,2.4023320293053985e-06,8.581108402395641e-05,0.8291606747886155,0.5004339977166772,0.9238693005502966
C,1,K0p342_a0p167,0.342,0.167,transition,True,,1.6689300537109375e-06,6.912741810083389e-07,8.755203860980996e-05,0.9562466432665113,1.112778013287091,1.2567263486570344
C,1,K0p474_a0p051,0.474,0.051,weak,True,,6.556510925292969e-07,2.0915467757731676e-07,4.740929535090227e-06,2.641386172620845,1.100429222261689,4.367389775818897
C,1,K0p295_a0p178,0.295,0.178,strong_nonlinear,True,,1.1920928955078125e-06,5.2175018936395645e-06,0.0005606278870974704,0.6737998425063013,0.3971189912582965,1.0208370977340362
C,1,K0p299_a0p105,0.299,0.105,strong_nonlinear,True,,4.76837158203125e-07,8.377246558666229e-07,1.7292000810253753e-05,0.8230559282185678,0.32978038399910536,0.5711889409766617
C,1,K0p321_a0p185,0.321,0.185,transition,True,,1.1324882507324219e-06,1.5668920241296291e-06,7.667344391756726e-05,0.8955078831427984,1.0463280173605218,1.0064671626428319
C,1,K0p412_a0p043,0.412,0.043,transition,True,,8.940696716308594e-07,2.048864189418964e-07,3.5569062314151648e-06,1.1294984292023758,0.6021000580920398,1.857370637413427
C,1,K0p409_a0p182,0.409,0.182,strong_nonlinear,True,,1.7881393432617188e-06,7.413618732243776e-07,1.1063938718795896e-05,1.07593409571555,1.6230724438250497,1.1401540299134822
C,2,K0p280_a0p085,0.28,0.085,strong_nonlinear,True,,1.0728836059570312e-06,2.3272878024727106e-07,1.219354321118214e-05,0.5994352061418088,0.21542316431098477,0.2896759166647688
C,2,K0p303_a0p035,0.303,0.035,transition,True,,1.1324882507324219e-06,5.865877028554678e-08,7.815671415910717e-06,0.48142252390591733,0.11821534651038738,0.2134330129233524
C,2,K0p361_a0p035,0.361,0.035,transition,True,,8.344650268554688e-07,7.384142008959316e-08,2.25438103358387e-06,0.9005287449289854,0.2912643835710558,1.1042007447937463
C,2,K0p407_a0p105,0.407,0.105,strong_nonlinear,True,,7.152557373046875e-07,6.353657227009535e-07,4.384059283557032e-06,1.144516495010566,1.0391762203060202,0.9691035075365165
C,2,K0p454_a0p125,0.454,0.125,strong_nonlinear,True,,8.344650268554688e-07,2.2161111701279879e-07,4.134811390578419e-06,0.5925777677106575,0.33328701357294777,0.9725348730788455
C,2,K0p500_a0p165,0.5,0.165,strong_nonlinear,False,75.41000000000001,1.1324882507324219e-06,5.953479558229446e-06,0.0009097416862701473,,,
C,2,K0p445_a0p030,0.445,0.03,weak,True,,1.7285346984863281e-06,6.827758625149727e-08,5.709072787109865e-06,2.6976424757676485,1.6855247410534675,5.817312129820887
C,2,K0p420_a0p122,0.42,0.122,strong_nonlinear,True,,7.152557373046875e-07,1.4495453797280788e-06,5.490415336194145e-06,1.166130261828064,1.9631216484479954,1.1498264491441044
C,2,K0p372_a0p085,0.372,0.085,strong_nonlinear,True,,1.3709068298339844e-06,5.758192855864763e-07,7.319120144170402e-06,0.7747261051235678,0.37152148336663715,0.6152331292609547
C,2,K0p368_a0p186,0.368,0.186,transition,True,,9.5367431640625e-07,1.7832135199569166e-06,0.00024682606521303203,1.1916432322841115,0.8832734576268707,1.193866965118847
C,2,K0p472_a0p032,0.472,0.032,weak,True,,6.556510925292969e-07,2.146261977031827e-07,4.519566511724826e-06,3.78750100228313,1.8645114345178475,12.686949833320575
C,2,K0p460_a0p177,0.46,0.177,strong_nonlinear,True,,4.76837158203125e-07,2.888264134526253e-07,1.4429042243463005e-05,0.6447919440771418,0.3680442598404926,0.9842363803774927
C,2,K0p280_a0p137,0.28,0.137,strong_nonlinear,True,,7.152557373046875e-07,1.4256220310926437e-06,2.8745648494377457e-05,0.8251486217936388,0.4113249584145126,0.7211017009547993
C,2,K0p342_a0p167,0.342,0.167,transition,True,,7.748603820800781e-07,1.969106961041689e-06,1.480502842671969e-05,0.889543775401806,0.7495325980456646,0.7901378969334107
C,2,K0p474_a0p051,0.474,0.051,weak,True,,1.1920928955078125e-06,2.0026345737278461e-07,2.844557721054136e-06,3.1158434896169087,0.9218282590365474,11.42063920694992
C,2,K0p295_a0p178,0.295,0.178,strong_nonlinear,True,,1.1920928955078125e-06,6.881891749799252e-07,4.941674126241419e-05,0.5468101225740072,0.2396051138501907,0.6470846301544897
C,2,K0p299_a0p105,0.299,0.105,strong_nonlinear,True,,2.2649765014648438e-06,8.923816494643688e-07,1.1453143393804433e-05,1.0323856097709072,0.5657472029156267,0.655446974962418
C,2,K0p321_a0p185,0.321,0.185,transition,True,,9.5367431640625e-07,3.461143933236599e-06,0.00012196189145821032,0.7143947023798874,0.30245679460941044,0.873348799103692
C,2,K0p412_a0p043,0.412,0.043,transition,True,,7.748603820800781e-07,4.0685517888050526e-07,3.0826520672264763e-06,1.2118670911598308,0.7869856308392831,1.7984470913114545
C,2,K0p409_a0p182,0.409,0.182,strong_nonlinear,True,,1.0132789611816406e-06,2.0459556253626943e-06,0.0002966654156461449,1.265523570618082,0.6897455026123418,1.3129230445820455
